"";"specimen_ID";"laboratory";"species";"station_name";"organ";"fat_percentage";"BDE28";"BDE47";"BDE99";"BDE100";"BDE153";"BDE154";"HBCD"
"64";"C2019/03282-03293";"SFA";"Clupea harengus";"Ranefjarden";"Muscle";"1.63";"0.19";"4.69";"1.6";"1.16";"0.357";"0.922";"4.15"
"65";"C2019/06768-06779";"SFA";"Gadus morhua";"SO Gotland";"Liver";"34.9";"0.802";"16.2";"0.602";"3.3";"0.113";"2.32";"11.3"
"66";"C2019/06780-06791";"SFA";"Gadus morhua";"SO Gotland";"Liver";"35.8";"0.698";"14.4";"0.43";"3.46";"0.139";"2.32";"8.63"
"67";"C2019/05249-05260";"SFA";"Gadus morhua";"Fladen";"Liver";"25";"0.48";"14.5";"0.177";"3.76";"0.198";"2.68";"0.76"
"68";"C2019/05261-05272";"SFA";"Gadus morhua";"Fladen";"Liver";"27.5";"0.181";"5.22";"0.161";"1.82";"0.108";"3.74";"3.93"
"69";"C2019/05459-05478";"SFA";"Mytilus edulis";"Fjallbacka";"Soft tissue";"1.28";"<0.39";"<2.6";"3.22";"1.2";"<0.39";"<99.9";"15.5"
"70";"C2019/05499-05518";"SFA";"Mytilus edulis";"Fjallbacka";"Soft tissue";"1";"<0.5";"4.37";"4.53";"1.46";"<0.5";"<0.5";"15.4"
"71";"C2019/03385-03396";"SFA";"Clupea harengus";"Gaviksfjarden";"Muscle";"3.04";"0.097";"2.65";"0.516";"0.869";"0.166";"0.621";"1.96"
"72";"C2019/03397-03408";"SFA";"Clupea harengus";"Gaviksfjarden";"Muscle";"3.11";"0.084";"2.48";"0.505";"0.785";"0.146";"0.64";"1.69"
"73";"C2019/06354-06365";"SFA";"Clupea harengus";"Abbekas";"Muscle";"2.27";"0.211";"3.45";"1.4";"0.958";"0.307";"0.68";"2.23"
"74";"C2019/06366-06377";"SFA";"Clupea harengus";"Abbekas";"Muscle";"2.34";"0.188";"3.82";"1.08";"0.951";"0.241";"0.561";"3.31"
"75";"C2019/05304-05315";"SFA";"Clupea harengus";"Kullen";"Muscle";"10.1";"0.218";"1.51";"0.517";"0.367";"0.104";"0.207";"1.01"
"76";"C2019/05316-05327";"SFA";"Clupea harengus";"Kullen";"Muscle";"8.69";"0.308";"1.66";"0.52";"0.412";"0.12";"0.239";"1.12"
"77";"C2019/05655-05674";"SFA";"Mytilus edulis";"Nidingen";"Soft tissue";"0.96";"<0.52";"3.9";"<1.5";"1.19";"<0.52";"<99.9";"30.2"
"78";"C2019/05695-05714";"SFA";"Mytilus edulis";"Nidingen";"Soft tissue";"0.95";"<0.52";"<3.5";"7.08";"<0.52";"0.967";"<99.9";"32.3"
"79";"C2019/07241-07252";"SFA";"Clupea harengus";"Byxelkrok";"Muscle";"1.1";"<0.23";"4.4";"1.55";"1.41";"0.477";"0.799";"5.02"
"80";"C2019/07253-07264";"SFA";"Clupea harengus";"Byxelkrok";"Muscle";"1.3";"<0.23";"5.79";"1.18";"2.16";"0.436";"0.922";"5.81"
"81";"C2019/00249";"SU";"Uria aalge";"Stora Kalso";"Egg content";"13";"0.78";"16";"4";"<99.99";"<0.6";"<0.6";"47"
"82";"C2019/00250";"SU";"Uria aalge";"Stora Kalso";"Egg content";"14";"<0.6";"6";"2";"<99.99";"<0.6";"<0.6";"34"
"83";"C2019/00251";"SU";"Uria aalge";"Stora Kalso";"Egg content";"13";"<0.6";"3.8";"1.4";"<0.6";"<0.6";"<0.6";"63"
"84";"C2019/00252";"SU";"Uria aalge";"Stora Kalso";"Egg content";"13";"1.3";"36";"6.5";"<99.99";"1.5";"<0.6";"36"
"85";"C2019/00253";"SU";"Uria aalge";"Stora Kalso";"Egg content";"13";"<0.6";"30";"5.1";"<99.99";"1.3";"<0.6";"30"
"86";"C2019/04401-04450";"SU";"Mytilus edulis";"Kvadofjarden";"Soft tissue";"1.3";"<0.2";"0.88";"<99.99";"4";"<0.2";"<0.2";"<2"
"87";"C2019/04508-04557";"SU";"Mytilus edulis";"Kvadofjarden";"Soft tissue";"1.5";"<0.2";"0.73";"<99.99";"5";"<0.2";"<0.2";"<1"
"88";"C2019/03270-03281";"SU";"Clupea harengus";"Ranefjarden";"Muscle";"2.7";"<0.3";"3.3";"0.73";"0.71";"<0.3";"0.39";"5.4"
"89";"C2019/03282-03293";"SU";"Clupea harengus";"Ranefjarden";"Muscle";"2";"<0.2";"3.3";"0.85";"0.87";"<0.2";"0.35";"4.9"
"90";"C2019/06768-06779";"SU";"Gadus morhua";"SO Gotland";"Liver";"38";"0.6";"14";"0.3";"3.5";"<0.2";"1.5";"15"
"91";"C2019/06780-06791";"SU";"Gadus morhua";"SO Gotland";"Liver";"40";"0.56";"13";"0.35";"3.4";"<0.2";"1.3";"12"
"92";"C2019/05249-05260";"SU";"Gadus morhua";"Fladen";"Liver";"28";"0.4";"13";"0.27";"3.7";"0.1";"1.5";"1.7"
"93";"C2019/05261-05272";"SU";"Gadus morhua";"Fladen";"Liver";"26";"0.17";"5.3";"0.13";"2.2";"<0.1";"1.1";"2.8"
"94";"C2019/05459-05478";"SU";"Mytilus edulis";"Fjallbacka";"Soft tissue";"1.4";"<0.2";"3.6";"2.5";"1.9";"<0.2";"<0.2";"3.3"
"95";"C2019/05499-05518";"SU";"Mytilus edulis";"Fjallbacka";"Soft tissue";"1.2";"<0.2";"3";"2";"1.5";"<0.2";"<0.2";"2.4"
"96";"C2019/03385-03396";"SU";"Clupea harengus";"Gaviksfjarden";"Muscle";"3.3";"<0.3";"2.6";"0.44";"0.78";"<0.3";"0.46";"3.2"
"97";"C2019/03397-03408";"SU";"Clupea harengus";"Gaviksfjarden";"Muscle";"2.9";"<0.2";"2.5";"0.45";"0.65";"<0.2";"0.36";"2.4"
"98";"C2019/06354-06365";"SU";"Clupea harengus";"Abbekas";"Muscle";"2.4";"<0.2";"3.1";"0.77";"0.77";"<0.2";"0.3";"2.4"
"99";"C2019/06366-06377";"SU";"Clupea harengus";"Abbekas";"Muscle";"2.3";"<0.2";"3.3";"0.75";"0.89";"<0.2";"0.28";"3.3"
"100";"C2019/05304-05315";"SU";"Clupea harengus";"Kullen";"Muscle";"9.8";"<0.1";"1.4";"0.32";"0.32";"<0.1";"0.16";"1.1"
"101";"C2019/05316-05327";"SU";"Clupea harengus";"Kullen";"Muscle";"8.7";"<0.1";"1.5";"0.34";"0.38";"<0.1";"0.17";"1.2"
"102";"C2909/05655-05674";"SU";"Mytilus edulis";"Nidingen";"Soft tissue";"1.1";"<99.99";"1.5";"<0.4";"<0.2";"<99.99";"<0.2";"<2"
"103";"C2019/05695-05714";"SU";"Mytilus edulis";"Nidingen";"Soft tissue";"1";"<0.2";"0.57";"<0.5";"0.46";"<99.99";"<0.2";"2.4"
"104";"C2019/07241-07252";"SU";"Clupea harengus";"Byxelkrok";"Muscle";"1.1";"<0.2";"5.2";"0.79";"1.6";"<0.2";"0.45";"6.2"
"105";"C2019/07253-07264";"SU";"Clupea harengus";"Byxelkrok";"Muscle";"1.2";"<0.2";"5.4";"0.62";"2.2";"<0.2";"0.47";"7.7"
"106";"C2020/06321-06370";"SU";"Mytilus edulis";"Kvadofjarden";"Soft tissue";"1.4";"<0.2";"1";"<99.99";"5.2";"<0.2";"<0.2";"<1.4"
"107";"C2020/06421-06470";"SU";"Mytilus edulis";"Kvadofjarden";"Soft tissue";"1.2";"<0.2";"1.5";"<99.99";"5.5";"<0.2";"<0.2";"<1.6"
"108";"C2020/08696-08715";"SU";"Mytilus edulis";"Fjallbacka";"Soft tissue";"1.6";"<0.2";"4.8";"2.8";"2.3";"<0.2";"<0.2";"3.7"
"109";"C2020/08736-08755";"SU";"Mytilus edulis";"Fjallbacka";"Soft tissue";"1.4";"<0.2";"6.2";"3.5";"2.4";"<0.2";"<0.2";"4.2"
"110";"C2020/04413-04432";"SU";"Mytilus edulis";"Nidingen";"Soft tissue";"1.4";"<0.2";"1.4";"0.79";"0.88";"0.61";"<0.2";"8"
"111";"C2020/04453-04472";"SU";"Mytilus edulis";"Nidingen";"Soft tissue";"1.1";"<0.2";"1.6";"0.67";"0.94";"<99.99";"<0.2";"10"
"112";"C2020/01106";"SU";"Uria aalge";"Stora Karlso";"Egg content";"14";"<0.6";"23";"3.9";"<99.99";"0.74";"<0.6";"64"
"113";"C2020/01107";"SU";"Uria aalge";"Stora Karlso";"Egg content";"12";"<0.6";"7.6";"1.9";"<99.99";"<0.6";"<0.6";"42"
"114";"C2020/01108";"SU";"Uria aalge";"Stora Karlso";"Egg content";"13";"0.9";"39";"5.1";"<99.99";"<0.6";"<0.6";"36"
"115";"C2020/01109";"SU";"Uria aalge";"Stora Karlso";"Egg content";"13";"<0.6";"13";"2.7";"<99.99";"<0.6";"<0.6";"41"
"116";"C2020/01110";"SU";"Uria aalge";"Stora Karlso";"Egg content";"12";"<0.6";"11";"2.9";"<99.99";"<0.6";"<0.6";"54"
"117";"C2020/01874-01883";"SU";"Sterna hirundo";"Tjarno";"Egg content";"9.1";"0.79";"29";"10";"12";"2.9";"3.6";"3.3"
"118";"C2020/06321-06370";"SFA";"Mytilus edulis";"Kvadofjarden";"Soft tissue";NA;NA;NA;NA;NA;NA;NA;NA
"119";"C2020/06421-06470";"SFA";"Mytilus edulis";"Kvadofjarden";"Soft tissue";NA;NA;NA;NA;NA;NA;NA;NA
"120";"C2020/08696-08715";"SFA";"Mytilus edulis";"Fjallbacka";"Soft tissue";NA;NA;NA;NA;NA;NA;NA;NA
"121";"C2020/08736-08755";"SFA";"Mytilus edulis";"Fjallbacka";"Soft tissue";NA;NA;NA;NA;NA;NA;NA;NA
"122";"C2020/04413-04432";"SFA";"Mytilus edulis";"Nidingen";"Soft tissue";NA;NA;NA;NA;NA;NA;NA;NA
"123";"C2020/04453-04472";"SFA";"Mytilus edulis";"Nidingen";"Soft tissue";NA;NA;NA;NA;NA;NA;NA;NA
"124";"C2020/01106";"SFA";"Uria aalge";"Stora Karlso";"Egg content";NA;NA;NA;NA;NA;NA;NA;NA
"125";"C2020/01107";"SFA";"Uria aalge";"Stora Karlso";"Egg content";NA;NA;NA;NA;NA;NA;NA;NA
"126";"C2020/01108";"SFA";"Uria aalge";"Stora Karlso";"Egg content";NA;NA;NA;NA;NA;NA;NA;NA
"127";"C2020/01109";"SFA";"Uria aalge";"Stora Karlso";"Egg content";NA;NA;NA;NA;NA;NA;NA;NA
"128";"C2020/01110";"SFA";"Uria aalge";"Stora Karlso";"Egg content";NA;NA;NA;NA;NA;NA;NA;NA
"129";"C2020/01874-01883";"SFA";"Sterna hirundo";"Tjarno";"Egg content";NA;NA;NA;NA;NA;NA;NA;NA
