"";"year";"specimen_ID";"laboratory";"species";"station_name";"fat_percentage";"Cu";"As";"Cd";"Pb";"Zn";"Ag";"Hg";"Ni";"Cr"
"109";"2007";"C2007/05888";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"10.2";NA;NA
"110";"2007";"C2007/05889";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"13.3";NA;NA
"111";"2007";"C2007/05890";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"14.4";NA;NA
"112";"2007";"C2007/05887";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"11.1";NA;NA
"113";"2007";"C2007/05891";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"11.6";NA;NA
"114";"2007";"C2007/05883";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"10.6";NA;NA
"115";"2007";"C2007/05886";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"12";NA;NA
"116";"2007";"C2007/05885";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"14.2";NA;NA
"117";"2007";"C2007/05884";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"16.3";NA;NA
"118";"2007";"C2007/05892";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"10.8";NA;NA
"119";"2007";"C2007/05893";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"14.1";NA;NA
"120";"2007";"C2007/05894";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"16.4";NA;NA
"121";"2007";"C2007/05897";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"14";NA;NA
"122";"2007";"C2007/05896";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"13.5";NA;NA
"123";"2007";"C2007/05895";"SLU";"Mytilus edulis";"Fjallbacka";NA;NA;NA;NA;NA;NA;NA;"10.5";NA;NA
"124";"1999";"P1999/03603";"SU";"Gadus morhua";"Fladen";NA;"27.6";NA;"0.017";"0.015";"39.6";NA;NA;"0.03";"0.33"
"125";"1999";"P1999/03600";"SU";"Gadus morhua";"Fladen";NA;"19.2";NA;"0.314";"0.202";"145";NA;NA;"0.34";"0.18"
"126";"1999";"P1999/03602";"SU";"Gadus morhua";"Fladen";NA;"30.5";NA;"0.062";"0.041";"76.9";NA;NA;"0.07";"0.24"
"127";"1999";"P1999/03598";"SU";"Gadus morhua";"Fladen";NA;"11.8";NA;"0.069";"0.047";"64.2";NA;NA;"0.12";"0.79"
"128";"1999";"P1999/03599";"SU";"Gadus morhua";"Fladen";NA;"20";NA;"0.159";"0.062";"61.2";NA;NA;"0.08";"0.26"
"129";"1999";"P1999/03605";"SU";"Gadus morhua";"Fladen";NA;"30.2";NA;"0.142";"0.053";"95.5";NA;NA;"0.14";"0.22"
"130";"1999";"P1999/03604";"SU";"Gadus morhua";"Fladen";NA;"8.81";NA;"0.146";"0.049";"66.2";NA;NA;"0.14";"0.28"
"131";"1999";"P1999/03910";"SU";"Clupea harengus";"Fladen";NA;"7.92";NA;"0.269";"0.043";"83.9";NA;NA;"0.03";"0.09"
